file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf175-043.cnf,UF175.753.100,SAT,SAT,True,14.5434,753,3122,3703,3122,104745,227252,142791,2311,388561,388561.0,63021200.0,3.7095899565611723,PASS,True,0.04,SAT,14687,547,0.121575,SAT,0.167953,SAT
uf175-044.cnf,UF175.753.100,SAT,SAT,True,54.702,753,9413,10847,9413,308634,659952,445045,2312,1198749,1198750.0,201822000.0,3.8840471237776786,PASS,True,0.04,SAT,55966,2069,0.200904,SAT,0.182079,SAT
uf175-045.cnf,UF175.753.100,SAT,SAT,True,24.4153,753,5136,5839,5136,163011,355058,232640,2298,626331,626331.0,104941000.0,3.8422621786259823,PASS,True,0.1,SAT,250812,8799,0.217997,SAT,0.031515,SAT
uf175-046.cnf,UF175.753.100,SAT,SAT,True,59.5991,753,9844,11356,9844,309315,666441,450800,2307,1209957,1209960.0,205099000.0,3.9117307599049513,PASS,True,0.05,SAT,96500,3751,0.053856,SAT,0.138359,SAT
uf175-047.cnf,UF175.753.100,SAT,SAT,True,43.7514,753,7930,9159,7930,258432,559237,368853,2306,993511,993511.0,163813000.0,3.844380726844973,PASS,True,0.04,SAT,21391,782,0.32018,SAT,0.209056,SAT
uf175-048.cnf,UF175.753.100,SAT,SAT,True,15.1038,753,3334,4072,3334,108723,235373,150083,2295,406723,406723.0,64995100.0,3.740910386946644,PASS,True,0.06,SAT,93669,4580,0.19869,SAT,0.043919,SAT
uf175-049.cnf,UF175.753.100,SAT,SAT,True,3.101,753,649,802,649,23490,51665,30635,2290,85862,85862.0,13088400.0,3.6552575564069816,PASS,True,0.04,SAT,18072,729,0.24797,SAT,0.249254,SAT
uf175-05.cnf,UF175.753.100,SAT,SAT,True,47.5239,753,8302,9570,8302,277507,599392,389869,2314,1052746,1052750.0,178345000.0,3.7935835852789297,PASS,True,0.11,SAT,244577,10020,0.316093,SAT,0.124703,SAT
uf175-050.cnf,UF175.753.100,SAT,SAT,True,2.0338,753,473,623,473,14941,33389,20078,2295,56551,56551.0,8318630.0,3.784954153001807,PASS,True,0.04,SAT,32515,1134,0.126343,SAT,0.147441,SAT
uf175-051.cnf,UF175.753.100,SAT,SAT,True,92.664,753,13705,15440,13705,417748,893000,630629,2284,1678329,1678330.0,291821000.0,4.017563219931634,PASS,True,0.05,SAT,97396,3920,0.112529,SAT,0.346461,SAT
uf175-052.cnf,UF175.753.100,SAT,SAT,True,46.3136,753,8311,9554,8311,271379,585562,386258,2273,1041605,1041600.0,177937000.0,3.8381930805257594,PASS,True,0.05,SAT,97667,3645,0.216503,SAT,0.247423,SAT
uf175-053.cnf,UF175.753.100,SAT,SAT,True,12.3325,753,2744,3258,2744,87778,192445,122477,2294,331588,331588.0,53878200.0,3.777575246644945,PASS,True,0.06,SAT,96553,3488,0.09111,SAT,0.218577,SAT
uf175-054.cnf,UF175.753.100,SAT,SAT,True,131.8624,753,5718,6647,5718,190130,410935,264424,2294,716208,716208.0,120250000.0,3.766938410561195,PASS,True,0.05,SAT,96364,3733,0.214624,SAT,0.530373,SAT
uf175-055.cnf,UF175.753.100,SAT,SAT,True,22.7526,753,4645,5450,4645,153549,334404,211200,2309,572455,572455.0,97089800.0,3.7281584380230415,PASS,True,0.06,SAT,154605,5694,0.528133,SAT,0.719745,SAT
uf175-056.cnf,UF175.753.100,SAT,SAT,True,16.0004,753,3515,4099,3515,114563,248570,158584,2318,429836,429836.0,70013000.0,3.7519618026762567,PASS,True,0.04,SAT,42698,1596,0.133056,SAT,0.340955,SAT
uf175-057.cnf,UF175.753.100,SAT,SAT,True,11.0991,753,2492,2996,2492,81713,178511,111386,2298,302718,302718.0,48873500.0,3.7046491990258588,PASS,True,0.06,SAT,122194,4661,0.127459,SAT,0.232093,SAT
uf175-058.cnf,UF175.753.100,SAT,SAT,True,2.7363,753,602,796,602,20250,44385,26481,2320,74430,74430.0,11783400.0,3.6755555555555555,PASS,True,0.05,SAT,85604,3335,0.132244,SAT,0.261775,SAT
uf175-059.cnf,UF175.753.100,SAT,SAT,True,124.9235,753,7149,8291,7149,228644,494956,324910,2318,873343,873343.0,147931000.0,3.819662882034954,PASS,True,0.09,SAT,235848,8105,0.276941,SAT,0.178064,SAT
uf175-06.cnf,UF175.753.100,SAT,SAT,True,31.5098,753,6025,6976,6025,202684,436424,281786,2306,763935,763935.0,126565000.0,3.769093761717748,PASS,True,0.06,SAT,139437,4734,0.162895,SAT,0.477562,SAT
uf175-060.cnf,UF175.753.100,SAT,SAT,True,12.4121,753,2745,3159,2745,90822,198402,123804,2315,336911,336911.0,55167400.0,3.7095747726321817,PASS,True,0.03,SAT,15234,585,0.062998,SAT,0.051509,SAT
uf175-061.cnf,UF175.753.100,SAT,SAT,True,2.746,753,648,847,648,20439,44709,27229,2300,76040,76040.0,12206600.0,3.7203385684231125,PASS,True,0.06,SAT,134604,5648,0.077015,SAT,0.066877,SAT
uf175-062.cnf,UF175.753.100,SAT,SAT,True,2.1817,753,416,519,416,13999,31018,18295,2317,52188,52188.0,7452600.0,3.7279805700407174,PASS,True,0.04,SAT,25870,1280,0.069869,SAT,0.132691,SAT
uf175-063.cnf,UF175.753.100,SAT,SAT,True,16.1665,753,3491,4085,3491,116366,252337,157858,2303,429738,429738.0,71549100.0,3.692985923723424,PASS,True,0.06,SAT,94228,3945,0.077163,SAT,0.303984,SAT
uf175-064.cnf,UF175.753.100,SAT,SAT,True,21.4453,753,4320,4958,4320,148448,323387,203156,2317,551332,551332.0,91802400.0,3.713973916792412,PASS,True,0.05,SAT,94473,4511,0.122989,SAT,0.679535,SAT
uf175-065.cnf,UF175.753.100,SAT,SAT,True,9.1888,753,2038,2377,2038,67960,148037,92163,2305,251593,251593.0,41982800.0,3.7020747498528546,PASS,True,0.04,SAT,24194,971,0.037336,SAT,0.254374,SAT
uf175-066.cnf,UF175.753.100,SAT,SAT,True,90.8583,753,12238,14170,12238,402767,866907,584921,2314,1567452,1567450.0,286654000.0,3.8917091022849437,PASS,True,0.17,SAT,456592,17414,0.048002,SAT,0.63509,SAT
uf175-067.cnf,UF175.753.100,SAT,SAT,True,45.6128,753,8108,9326,8108,261043,562966,377701,2286,1013180,1013180.0,167256000.0,3.8812762648299324,PASS,True,0.05,SAT,75436,2940,0.334196,SAT,0.193699,SAT
uf175-068.cnf,UF175.753.100,SAT,SAT,True,20.2749,753,4289,5016,4289,139027,303075,195572,2283,527473,527473.0,87795400.0,3.794032813769987,PASS,True,0.12,SAT,319992,11195,0.361287,SAT,0.094153,SAT
uf175-069.cnf,UF175.753.100,SAT,SAT,True,30.3671,753,6000,6905,6000,197292,427162,277182,2310,748714,748714.0,121555000.0,3.7949536727287474,PASS,True,0.16,SAT,452270,19194,0.271611,SAT,0.234502,SAT
uf175-07.cnf,UF175.753.100,SAT,SAT,True,11.1614,753,2474,2924,2474,82654,180712,112954,2306,307440,307440.0,50304000.0,3.7196021971108477,PASS,True,0.05,SAT,89818,3298,0.075972,SAT,0.015125,SAT
uf175-070.cnf,UF175.753.100,SAT,SAT,True,9.0442,753,1976,2376,1976,67500,147239,90241,2338,247386,247386.0,39787300.0,3.6649777777777777,PASS,True,0.06,SAT,86719,3214,0.029343,SAT,0.041268,SAT
uf175-071.cnf,UF175.753.100,SAT,SAT,True,9.0306,753,1962,2305,1962,67420,147923,91981,2295,250981,250981.0,40510000.0,3.7226490655591813,PASS,True,0.04,SAT,35724,1232,0.068127,SAT,0.127415,SAT
uf175-072.cnf,UF175.753.100,SAT,SAT,True,18.7425,753,3925,4677,3925,131531,286542,182041,2290,493468,493468.0,79418600.0,3.7517239281994357,PASS,True,0.06,SAT,96549,4331,0.156622,SAT,0.063188,SAT
uf175-073.cnf,UF175.753.100,SAT,SAT,True,5.9086,753,1356,1557,1356,44404,97412,60153,2291,164835,164835.0,26599000.0,3.712165570669309,PASS,True,0.03,SAT,56538,1955,0.02153,SAT,0.019788,SAT
uf175-074.cnf,UF175.753.100,SAT,SAT,True,34.341,753,6768,7603,6768,214070,466389,306292,2290,822566,822566.0,139468000.0,3.842509459522586,PASS,True,0.06,SAT,89772,3408,0.196922,SAT,0.304193,SAT
uf175-075.cnf,UF175.753.100,SAT,SAT,True,34.299,753,6809,7937,6809,216600,469464,309419,2294,832109,832109.0,138860000.0,3.84168513388735,PASS,True,0.05,SAT,65527,2383,0.115534,SAT,0.039953,SAT
uf175-076.cnf,UF175.753.100,SAT,SAT,True,25.246,753,5237,6235,5237,168408,365541,235770,2303,635824,635824.0,105326000.0,3.7754976010640826,PASS,True,0.05,SAT,84884,3528,0.170078,SAT,0.376239,SAT
uf175-077.cnf,UF175.753.100,SAT,SAT,True,30.8806,753,6300,7428,6300,200495,432485,283889,2315,765705,765705.0,128988000.0,3.8190727948327887,PASS,True,0.06,SAT,92489,3543,0.021855,SAT,0.935875,SAT
uf175-078.cnf,UF175.753.100,SAT,SAT,True,5.3647,753,1214,1461,1214,40484,88618,54219,2296,149157,149157.0,24309600.0,3.684344432368343,PASS,True,0.05,SAT,100439,4317,0.127553,SAT,0.133252,SAT
uf175-079.cnf,UF175.753.100,SAT,SAT,True,16.8427,753,3718,4412,3718,119772,261427,165221,2305,447945,447945.0,72977300.0,3.7399809638312793,PASS,True,0.09,SAT,222239,8160,0.297444,SAT,0.15198,SAT
uf175-08.cnf,UF175.753.100,SAT,SAT,True,19.61,753,4121,4796,4121,137581,297461,188665,2310,512183,512183.0,83246000.0,3.7227742202775094,PASS,True,0.05,SAT,96243,3722,0.032033,SAT,0.073472,SAT
uf175-080.cnf,UF175.753.100,SAT,SAT,True,11.3318,753,2446,2889,2446,83685,183239,113526,2286,309419,309419.0,51372100.0,3.6974248670610024,PASS,True,0.05,SAT,95469,3411,0.054598,SAT,0.033698,SAT
uf175-081.cnf,UF175.753.100,SAT,SAT,True,34.4795,753,6766,7777,6766,217386,473225,310300,2309,835168,835168.0,141108000.0,3.8418665415436135,PASS,True,0.05,SAT,95436,3409,0.476487,SAT,0.559908,SAT
uf175-082.cnf,UF175.753.100,SAT,SAT,True,72.5606,753,11213,12828,11213,360698,777689,518606,2319,1393594,1393590.0,246791000.0,3.863603346844174,PASS,True,0.04,SAT,92826,3623,0.602438,SAT,0.0531,SAT
