file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf125-075.cnf,UF125.538.100,SAT,SAT,True,1.5872,538,441,537,441,12062,26601,15995,1688,44961,44961.0,6282760.0,3.7274912949759575,PASS,False,0.02,SAT,0.015361,SAT,0.012405,SAT
uf125-076.cnf,UF125.538.100,SAT,SAT,True,2.9456,538,873,1054,873,22240,49279,30521,1689,83422,83422.0,12415400.0,3.7509892086330936,PASS,True,0.04,SAT,0.0279,SAT,0.018665,SAT
uf125-077.cnf,UF125.538.100,SAT,SAT,True,2.3701,538,687,848,687,17750,39374,24060,1760,66360,66360.0,10205100.0,3.7385915492957746,PASS,True,0.04,SAT,0.053819,SAT,0.038561,SAT
uf125-078.cnf,UF125.538.100,SAT,SAT,True,8.5072,538,2442,2861,2442,62674,136367,86910,1724,234430,234430.0,38431300.0,3.74046654114944,PASS,True,0.04,SAT,0.095168,SAT,0.033315,SAT
uf125-079.cnf,UF125.538.100,SAT,SAT,True,2.7919,538,806,946,806,21080,46576,28265,1749,77882,77882.0,11811600.0,3.6945920303605315,PASS,True,0.03,SAT,0.028937,SAT,0.048117,SAT
uf125-08.cnf,UF125.538.100,SAT,SAT,True,4.8033,538,1378,1634,1378,36508,79807,49538,1713,134944,134944.0,22097700.0,3.6962857455900076,PASS,True,0.03,SAT,0.008944,SAT,0.008937,SAT
uf125-080.cnf,UF125.538.100,SAT,SAT,True,2.1435,538,613,760,613,16612,36234,21789,1714,60766,60766.0,9401100.0,3.6579581025764507,PASS,True,0.03,SAT,0.019582,SAT,0.008773,SAT
uf125-081.cnf,UF125.538.100,SAT,SAT,True,2.0007,538,545,665,545,15136,33482,20027,1718,55880,55880.0,7735140.0,3.691860465116279,PASS,True,0.03,SAT,0.051455,SAT,0.051128,SAT
uf125-082.cnf,UF125.538.100,SAT,SAT,True,2.8904,538,756,864,756,22287,48823,29120,1720,80889,80889.0,12209700.0,3.6294252254677617,PASS,True,0.04,SAT,0.024344,SAT,0.048704,SAT
uf125-083.cnf,UF125.538.100,SAT,SAT,True,4.1481,538,1083,1283,1083,31877,69858,42056,1730,115839,115839.0,18196400.0,3.633936694168209,PASS,True,0.04,SAT,0.037232,SAT,0.033611,SAT
uf125-084.cnf,UF125.538.100,SAT,SAT,True,0.3947,538,88,147,88,2540,5519,3149,1638,10373,10373.0,1290460.0,4.083858267716535,PASS,False,0.03,SAT,0.034156,SAT,0.043878,SAT
uf125-085.cnf,UF125.538.100,SAT,SAT,True,4.3901,538,1236,1422,1236,33524,73193,44755,1732,122676,122676.0,19386300.0,3.6593485264288272,PASS,True,0.03,SAT,0.029124,SAT,0.07329,SAT
uf125-086.cnf,UF125.538.100,SAT,SAT,True,2.7434,538,816,979,816,20586,45598,27907,1741,76610,76610.0,12316200.0,3.721461187214612,PASS,True,0.03,SAT,0.030508,SAT,0.036886,SAT
uf125-087.cnf,UF125.538.100,SAT,SAT,True,0.5875,538,143,203,143,3756,8314,4920,1643,15031,15031.0,1970440.0,4.001863684771033,PASS,False,0.03,SAT,0.023432,SAT,0.010777,SAT
uf125-088.cnf,UF125.538.100,SAT,SAT,True,1.3506,538,381,478,381,9882,22110,13386,1703,37660,37660.0,5207130.0,3.8109694393847398,PASS,False,0.03,SAT,0.028345,SAT,0.054597,SAT
uf125-089.cnf,UF125.538.100,SAT,SAT,True,1.1259,538,317,398,317,8491,18741,11183,1675,31970,31970.0,4330790.0,3.7651631138852903,PASS,False,0.03,SAT,0.028335,SAT,0.025368,SAT
uf125-09.cnf,UF125.538.100,SAT,SAT,True,0.6515,538,183,249,183,4740,10197,6008,1648,18111,18111.0,2312250.0,3.820886075949367,PASS,False,0.04,SAT,0.047416,SAT,0.018595,SAT
uf125-090.cnf,UF125.538.100,SAT,SAT,True,0.4588,538,107,170,107,3108,6679,3816,1666,12270,12270.0,1537930.0,3.947876447876448,PASS,False,0.03,SAT,0.024725,SAT,0.030677,SAT
uf125-091.cnf,UF125.538.100,SAT,SAT,True,2.5441,538,677,813,677,19373,42831,25772,1694,71356,71356.0,10370400.0,3.683270531151603,PASS,True,0.04,SAT,0.066137,SAT,0.020538,SAT
uf125-092.cnf,UF125.538.100,SAT,SAT,True,0.8251,538,217,276,217,6110,13423,7893,1643,23189,23189.0,3039380.0,3.795253682487725,PASS,False,0.03,SAT,0.01929,SAT,0.013475,SAT
uf125-093.cnf,UF125.538.100,SAT,SAT,True,5.0788,538,1460,1691,1460,38309,84435,52377,1704,142469,142469.0,22500000.0,3.718943329243781,PASS,True,0.05,SAT,0.037712,SAT,0.055301,SAT
uf125-094.cnf,UF125.538.100,SAT,SAT,True,2.4271,538,696,827,696,18281,40622,24636,1718,68010,68010.0,10365700.0,3.7202560035009027,PASS,True,0.03,SAT,0.061738,SAT,0.014381,SAT
uf125-095.cnf,UF125.538.100,SAT,SAT,True,1.1709,538,312,373,312,8744,19348,11433,1696,32808,32808.0,4529580.0,3.7520585544373284,PASS,False,0.04,SAT,0.027584,SAT,0.043335,SAT
uf125-096.cnf,UF125.538.100,SAT,SAT,True,2.5185,538,768,915,768,19273,42336,25924,1724,71426,71426.0,10933200.0,3.7060135941472527,PASS,True,0.03,SAT,0.016957,SAT,0.034926,SAT
uf125-097.cnf,UF125.538.100,SAT,SAT,True,1.5219,538,435,539,435,11435,25179,15355,1724,43112,43112.0,5785370.0,3.770179274158286,PASS,False,0.03,SAT,0.023273,SAT,0.030707,SAT
uf125-098.cnf,UF125.538.100,SAT,SAT,True,1.8096,538,495,598,495,13906,30519,18041,1737,50781,50781.0,7017480.0,3.6517330648640876,PASS,True,0.03,SAT,0.024275,SAT,0.025415,SAT
uf125-099.cnf,UF125.538.100,SAT,SAT,True,4.7825,538,1375,1592,1375,35509,79232,49726,1677,134197,134197.0,21734100.0,3.7792390661522433,PASS,True,0.03,SAT,0.012789,SAT,0.026937,SAT
